Unnamed: 0,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,duration_binned,amount_binned,age_binned
20,1,6,4,others,3676,1,3,1,male : married/widowed,none,3,unknown / no property,37,none,1,3,3,3 or more,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",35-41
21,2,12,4,others,3124,1,2,1,male : married/widowed,none,3,unknown / no property,49,bank,2,2,2,3 or more,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",47-52
22,2,36,2,domestic appliances,2384,1,2,4,male : married/widowed,none,1,real estate,33,none,1,1,2,0 to 2,1,2,0,"(31.2, 38.0]","(2067.4, 3884.8]",30-35
23,2,12,4,radio/television,1424,1,4,4,male : married/widowed,none,3,car or other,26,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
24,1,6,4,others,4716,5,2,1,male : married/widowed,none,3,unknown / no property,44,none,2,2,2,3 or more,1,2,1,"(3.932, 10.8]","(3884.8, 5702.2]",41-47
25,2,11,3,furniture/equipment,4771,1,4,2,male : married/widowed,none,4,car or other,51,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(3884.8, 5702.2]",47-52
26,1,12,2,car (used),652,1,5,4,female : non-single or male : single,none,4,car or other,24,none,1,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
27,2,9,4,furniture/equipment,1154,1,5,2,male : married/widowed,none,4,unknown / no property,37,none,2,3,2,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",35-41
28,4,15,2,others,3556,5,3,3,male : married/widowed,none,2,real estate,29,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
29,3,42,4,car (new),4796,1,5,4,male : married/widowed,none,4,real estate,56,none,3,1,3,0 to 2,1,2,1,"(38.0, 44.8]","(3884.8, 5702.2]",52-58
30,3,30,4,furniture/equipment,3017,1,5,4,male : married/widowed,none,4,car or other,47,none,2,1,3,0 to 2,1,2,1,"(24.4, 31.2]","(2067.4, 3884.8]",41-47
31,4,36,4,others,3535,1,4,4,male : married/widowed,none,4,building soc. savings agr./life insurance,37,none,2,2,3,0 to 2,2,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",35-41
32,4,36,4,others,6614,1,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,34,none,2,2,4,0 to 2,2,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",30-35
33,4,24,2,furniture/equipment,1376,3,4,4,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
34,1,15,2,others,1721,1,2,2,male : married/widowed,none,3,unknown / no property,36,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",35-41
35,1,6,4,others,860,1,5,1,female : non-single or male : single,none,4,real estate,39,none,2,2,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",35-41
36,4,12,4,others,1495,1,5,4,male : married/widowed,none,1,unknown / no property,38,none,2,2,2,3 or more,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",35-41
37,4,12,4,furniture/equipment,1934,1,5,2,male : married/widowed,none,2,real estate,26,none,2,2,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
38,4,18,2,car (new),3378,5,3,2,male : married/widowed,none,1,car or other,31,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
39,4,24,4,car (new),3868,1,5,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,41,none,1,2,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
40,4,12,4,domestic appliances,996,5,4,4,female : non-single or male : single,none,4,unknown / no property,23,none,2,2,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
41,1,24,2,business,1755,1,5,4,female : non-single or male : single,guarantor,4,unknown / no property,58,none,2,1,2,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",52-58
42,4,18,4,others,1028,1,3,4,female : non-single or male : single,none,3,unknown / no property,36,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
43,2,24,4,retraining,2825,5,4,4,male : married/widowed,none,3,real estate,34,none,2,2,3,3 or more,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
44,2,18,2,repairs,1239,5,3,4,male : married/widowed,none,4,real estate,61,none,3,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",58-63
45,1,18,2,others,1216,1,2,4,female : non-single or male : single,none,3,building soc. savings agr./life insurance,23,none,1,1,3,0 to 2,2,2,0,"(17.6, 24.4]","(231.826, 2067.4]",18-24
46,4,24,2,retraining,1258,1,4,4,male : married/widowed,none,1,unknown / no property,25,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
47,4,18,4,repairs,1864,2,3,4,female : non-single or male : single,none,2,unknown / no property,30,none,2,2,3,0 to 2,1,2,0,"(17.6, 24.4]","(231.826, 2067.4]",24-30
48,4,24,2,others,1474,2,2,4,female : single,none,3,unknown / no property,33,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
49,1,24,4,retraining,1382,2,4,4,male : married/widowed,none,1,unknown / no property,26,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
50,4,12,2,others,640,1,3,4,male : divorced/separated,none,2,unknown / no property,49,none,2,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",47-52
51,3,36,2,furniture/equipment,3919,1,3,2,male : married/widowed,none,2,unknown / no property,23,none,2,1,3,0 to 2,2,2,1,"(31.2, 38.0]","(3884.8, 5702.2]",18-24
52,4,9,4,others,1224,1,3,3,male : married/widowed,none,1,unknown / no property,30,none,2,2,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
53,4,12,4,furniture/equipment,2331,5,5,1,male : married/widowed,co-applicant,4,unknown / no property,49,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",47-52
54,4,24,2,car (new),6313,5,5,3,male : married/widowed,none,4,building soc. savings agr./life insurance,41,none,2,1,4,3 or more,2,2,1,"(17.6, 24.4]","(5702.2, 7519.6]",35-41
55,1,12,4,furniture/equipment,385,1,4,4,female : non-single or male : single,none,3,unknown / no property,58,none,2,4,2,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",52-58
56,4,12,4,furniture/equipment,1655,1,5,2,male : married/widowed,none,4,unknown / no property,63,none,2,2,2,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",58-63
57,1,15,2,furniture/equipment,1053,1,2,4,female : single,none,2,unknown / no property,27,none,2,1,3,0 to 2,1,1,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
58,4,21,2,furniture/equipment,3160,5,5,4,male : married/widowed,none,3,car or other,41,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
59,4,36,2,others,3079,5,3,4,male : married/widowed,none,4,unknown / no property,36,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",35-41
60,4,12,4,others,1163,3,3,4,male : married/widowed,none,4,unknown / no property,44,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
61,4,24,2,car (new),2679,1,2,4,female : non-single or male : single,none,1,real estate,29,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
62,4,48,4,furniture/equipment,3578,5,5,4,male : married/widowed,none,1,unknown / no property,47,none,2,1,3,0 to 2,2,2,1,"(44.8, 51.6]","(2067.4, 3884.8]",41-47
63,4,36,3,others,10875,1,5,2,male : married/widowed,none,2,building soc. savings agr./life insurance,45,none,2,2,3,3 or more,2,2,1,"(31.2, 38.0]","(9337.0, 11154.4]",41-47
64,1,12,3,others,1344,1,3,4,male : married/widowed,none,2,unknown / no property,43,none,2,2,2,3 or more,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
65,4,6,4,furniture/equipment,1237,2,3,1,female : non-single or male : single,none,1,car or other,27,none,2,2,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
66,4,12,2,furniture/equipment,3077,1,3,2,male : married/widowed,none,4,building soc. savings agr./life insurance,52,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",47-52
67,4,24,2,furniture/equipment,2284,1,4,4,male : married/widowed,none,2,building soc. savings agr./life insurance,28,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
68,2,12,2,furniture/equipment,1567,1,3,1,female : non-single or male : single,none,1,building soc. savings agr./life insurance,22,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
69,4,24,3,others,2032,1,5,4,male : married/widowed,none,4,real estate,60,none,3,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",58-63
70,2,21,4,car (used),2745,4,4,3,male : married/widowed,none,2,building soc. savings agr./life insurance,32,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
71,4,30,2,furniture/equipment,1867,5,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,58,none,2,1,3,0 to 2,2,2,1,"(24.4, 31.2]","(231.826, 2067.4]",52-58
72,4,36,2,furniture/equipment,2299,3,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,39,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",35-41
73,4,24,2,car (used),929,5,4,4,male : married/widowed,none,2,building soc. savings agr./life insurance,31,stores,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
74,3,12,2,furniture/equipment,3399,5,5,2,male : married/widowed,none,3,building soc. savings agr./life insurance,37,none,2,1,4,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",35-41
75,2,9,2,car (used),2030,5,4,2,male : married/widowed,none,1,building soc. savings agr./life insurance,24,none,2,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",18-24
76,4,21,4,car (new),3275,1,5,1,male : married/widowed,none,4,building soc. savings agr./life insurance,36,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
77,4,24,4,others,1940,4,5,4,male : married/widowed,none,4,unknown / no property,60,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",58-63
78,1,21,4,others,1602,1,5,4,female : single,none,3,building soc. savings agr./life insurance,30,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
79,4,15,2,furniture/equipment,1979,5,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,35,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
80,4,24,4,others,2022,1,3,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,37,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
81,4,36,4,furniture/equipment,3342,5,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,51,none,2,1,3,0 to 2,2,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",47-52
82,2,18,2,others,5866,2,3,2,male : married/widowed,none,2,building soc. savings agr./life insurance,30,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(5702.2, 7519.6]",24-30
83,3,15,4,car (new),2360,3,3,2,male : married/widowed,none,2,building soc. savings agr./life insurance,36,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",35-41
84,4,15,4,car (used),1520,5,5,4,male : married/widowed,none,4,car or other,63,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",58-63
85,1,12,2,others,3651,4,3,1,male : married/widowed,none,3,car or other,31,none,2,1,3,3 or more,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",30-35
86,4,24,4,car (new),2346,1,4,4,male : married/widowed,none,3,building soc. savings agr./life insurance,35,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
87,4,36,3,furniture/equipment,4454,1,3,4,female : non-single or male : single,none,4,unknown / no property,34,none,2,2,3,0 to 2,1,2,1,"(31.2, 38.0]","(3884.8, 5702.2]",30-35
88,1,6,4,others,666,4,4,3,female : non-single or male : single,none,4,unknown / no property,39,none,2,2,2,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",35-41
89,2,24,3,others,1965,5,3,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,42,none,1,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",41-47
90,2,12,4,others,1995,2,2,4,male : married/widowed,none,1,building soc. savings agr./life insurance,27,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
91,2,30,2,furniture/equipment,2991,5,5,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,25,none,2,1,3,0 to 2,1,2,1,"(24.4, 31.2]","(2067.4, 3884.8]",24-30
92,2,30,0,retraining,4221,1,3,2,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,none,2,2,3,0 to 2,1,2,1,"(24.4, 31.2]","(3884.8, 5702.2]",24-30
93,1,9,2,furniture/equipment,1364,1,4,3,male : married/widowed,none,4,unknown / no property,59,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",58-63
94,2,18,4,car (used),6361,1,5,2,male : married/widowed,none,1,real estate,41,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(5702.2, 7519.6]",35-41
95,4,27,4,car (used),4526,4,2,4,male : married/widowed,none,2,unknown / no property,32,stores,2,2,2,3 or more,2,2,1,"(24.4, 31.2]","(3884.8, 5702.2]",30-35
96,2,12,4,furniture/equipment,3573,1,3,1,female : non-single or male : single,none,1,unknown / no property,23,none,2,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",18-24
97,2,36,3,retraining,4455,1,3,2,male : divorced/separated,none,2,unknown / no property,30,stores,2,2,4,0 to 2,2,2,0,"(31.2, 38.0]","(3884.8, 5702.2]",24-30
98,1,9,2,car (used),2136,1,3,3,male : married/widowed,none,2,unknown / no property,25,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",24-30
99,2,42,4,retraining,5954,1,4,2,female : non-single or male : single,none,1,unknown / no property,41,bank,2,2,2,0 to 2,1,2,1,"(38.0, 44.8]","(5702.2, 7519.6]",35-41
100,4,24,4,car (used),3777,4,3,4,male : married/widowed,none,4,unknown / no property,40,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
101,1,15,2,retraining,806,1,3,4,female : non-single or male : single,none,4,car or other,22,none,2,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
102,2,24,3,retraining,4712,5,3,4,male : married/widowed,none,2,car or other,34,bank,2,2,4,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",30-35
103,2,36,3,others,7432,1,3,2,female : non-single or male : single,none,2,car or other,54,none,1,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",52-58
104,4,24,4,furniture/equipment,1851,1,4,4,female : single,guarantor,2,building soc. savings agr./life insurance,33,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
105,4,24,2,others,1393,1,3,2,male : married/widowed,guarantor,2,unknown / no property,31,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
106,4,12,4,retraining,1412,1,3,4,female : non-single or male : single,guarantor,2,unknown / no property,29,none,2,2,4,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
107,4,18,2,furniture/equipment,1473,1,2,3,female : single,none,4,unknown / no property,39,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
108,4,24,2,furniture/equipment,1533,1,2,4,female : non-single or male : single,none,3,building soc. savings agr./life insurance,38,stores,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
109,4,12,4,repairs,2012,5,4,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,61,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",58-63
110,1,15,2,others,3959,1,3,3,female : non-single or male : single,none,2,car or other,29,none,2,1,3,0 to 2,2,2,0,"(10.8, 17.6]","(3884.8, 5702.2]",24-30
111,1,6,2,car (used),428,1,5,2,female : non-single or male : single,none,1,car or other,49,bank,2,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",47-52
112,2,12,4,others,2366,3,4,3,male : divorced/separated,none,3,building soc. savings agr./life insurance,36,none,2,1,4,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",35-41
113,4,12,2,car (used),763,1,3,4,female : non-single or male : single,none,1,unknown / no property,26,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
114,2,21,2,car (used),3976,5,4,2,male : married/widowed,none,3,building soc. savings agr./life insurance,35,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",30-35
115,2,18,2,others,6260,1,4,3,male : married/widowed,none,3,unknown / no property,28,none,1,1,2,0 to 2,1,2,1,"(17.6, 24.4]","(5702.2, 7519.6]",24-30
116,2,9,4,car (used),1919,1,4,4,male : married/widowed,none,3,building soc. savings agr./life insurance,35,none,1,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",30-35
117,4,24,2,car (new),2603,4,3,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,28,none,1,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
118,4,9,4,repairs,936,3,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,52,none,2,2,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",47-52
119,4,24,2,car (used),3062,3,5,4,male : married/widowed,none,3,real estate,32,none,1,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
120,2,36,2,furniture/equipment,4795,1,2,4,female : non-single or male : single,none,1,real estate,30,none,2,1,4,0 to 2,2,2,1,"(31.2, 38.0]","(3884.8, 5702.2]",24-30
121,4,36,4,car (new),5842,1,5,2,male : married/widowed,none,2,car or other,35,none,2,2,3,3 or more,2,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",30-35
122,2,6,2,furniture/equipment,2063,1,2,4,female : single,none,3,building soc. savings agr./life insurance,30,none,1,1,4,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
123,4,15,4,furniture/equipment,1459,1,3,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,43,none,2,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
124,4,15,2,furniture/equipment,1213,3,5,4,male : married/widowed,none,3,car or other,47,stores,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
125,4,24,4,furniture/equipment,5103,1,2,3,female : single,none,3,real estate,47,none,3,3,3,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",41-47
126,4,15,2,radio/television,874,5,2,4,female : non-single or male : single,none,1,unknown / no property,24,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
127,4,6,2,car (used),2978,3,3,1,male : married/widowed,none,2,building soc. savings agr./life insurance,32,none,2,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",30-35
128,4,18,2,others,1820,1,3,2,female : single,none,2,car or other,30,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
129,4,24,4,furniture/equipment,2872,2,5,3,male : married/widowed,none,4,unknown / no property,36,none,2,1,3,3 or more,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
130,3,24,2,car (used),1925,1,3,2,male : married/widowed,none,2,unknown / no property,26,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
131,4,18,2,car (used),2515,1,3,3,male : married/widowed,none,4,unknown / no property,43,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",41-47
132,3,6,2,car (used),2116,1,3,2,male : married/widowed,none,2,unknown / no property,41,none,2,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",35-41
133,4,18,2,furniture/equipment,1453,1,2,3,female : non-single or male : single,none,1,unknown / no property,26,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
134,4,10,2,others,1364,1,3,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,64,none,2,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",63-69
135,4,6,2,car (used),1543,4,3,4,male : divorced/separated,none,2,unknown / no property,33,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",30-35
136,2,12,2,others,1318,4,5,4,male : married/widowed,none,4,unknown / no property,54,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",52-58
137,1,24,1,others,2325,2,4,2,male : married/widowed,none,3,building soc. savings agr./life insurance,32,bank,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
138,2,6,4,vacation,932,5,4,1,female : non-single or male : single,none,3,car or other,39,none,2,2,2,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",35-41
139,3,24,4,furniture/equipment,3148,5,3,3,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
140,4,36,2,furniture/equipment,3835,5,5,2,female : non-single or male : single,none,4,unknown / no property,45,none,2,1,2,0 to 2,2,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",41-47
141,4,9,2,repairs,3832,5,5,1,male : married/widowed,none,4,unknown / no property,64,none,2,1,2,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",63-69
142,2,24,2,furniture/equipment,5084,5,5,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,42,none,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",41-47
143,4,9,4,car (used),2406,1,1,2,male : married/widowed,none,3,building soc. savings agr./life insurance,31,none,2,1,4,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",30-35
144,4,36,2,furniture/equipment,2394,5,3,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,25,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",24-30
145,4,21,2,car (new),2476,5,5,4,male : married/widowed,none,4,unknown / no property,46,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",41-47
146,1,24,2,car (new),2964,5,5,4,male : married/widowed,none,4,real estate,49,bank,3,1,3,3 or more,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",47-52
